,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Ibou Badji,Dec 26 '23 POR vs. SAC,21,1,18,203,12,19,0,0,5,10,19,48,13,2,20,14,42,29,.632,,.500,11.3,1.6,2.7,0.7,0.1,1.1,badjiib01
2,Amari Bailey,Nov 12 '23 CHO @ NYK,19,1,4,16,2,7,0,3,1,2,2,2,1,0,0,1,0,5,.286,.000,.500,4.0,1.3,0.5,0.3,0.0,0.0,baileam01
3,Emoni Bates,Oct 28 '23 CLE vs. IND,20,1,11,88,9,32,6,24,1,4,1,11,6,1,2,2,5,25,.281,.250,.250,8.0,2.3,1.0,0.5,0.1,0.2,batesem01
4,Jules Bernard,Dec 8 '23 WAS @ BRK,24,1,9,39,7,17,3,11,1,3,3,6,5,1,1,2,6,18,.412,.273,.333,4.3,2.0,0.7,0.6,0.1,0.1,bernaju01
5,Onuralp Bitim,Nov 4 '23 CHI @ DEN,24,1,11,151,19,43,9,25,3,4,5,18,7,2,1,5,10,50,.442,.360,.750,13.7,4.5,1.6,0.6,0.2,0.1,bitimon01
6,Anthony Black,Oct 25 '23 ORL vs. HOU,20,1,60,1090,105,229,34,87,48,75,31,135,87,33,19,52,107,292,.459,.391,.640,18.2,4.9,2.3,1.5,0.6,0.3,blackan01
7,Leaky Black,Nov 8 '23 CHO vs. WAS,24,1,22,218,17,39,7,15,9,14,8,38,18,5,6,5,15,50,.436,.467,.643,9.9,2.3,1.7,0.8,0.2,0.3,blackle01
8,Izaiah Brockington,Mar 5 '24 NOP @ TOR,24,1,1,3,2,5,0,1,0,0,1,2,0,0,0,0,0,4,.400,.000,,3.0,4.0,2.0,0.0,0.0,0.0,brockiz01
9,Kobe Brown,Oct 25 '23 LAC vs. POR,24,1,35,289,24,63,12,39,1,2,10,46,17,6,3,7,41,61,.381,.308,.500,8.3,1.7,1.3,0.5,0.2,0.1,brownko01
10,Kobe Bufkin,Oct 29 '23 ATL @ MIL,20,1,9,89,13,37,5,17,2,4,2,14,15,3,1,5,6,33,.351,.294,.500,9.9,3.7,1.6,1.7,0.3,0.1,bufkiko01
11,Toumani Camara,Oct 25 '23 POR @ LAC,23,1,63,1537,169,385,49,151,70,94,123,311,74,61,28,74,155,457,.439,.325,.745,24.4,7.3,4.9,1.2,1.0,0.4,camarto01
12,D.J. Carton,Feb 22 '24 TOR vs. BRK,23,1,4,36,3,8,1,4,4,5,2,4,3,1,0,1,3,11,.375,.250,.800,9.0,2.8,1.0,0.8,0.3,0.0,cartodj01
13,Colin Castleton,Nov 4 '23 LAL @ ORL,23,1,7,36,7,10,0,0,4,4,4,9,3,0,0,1,7,18,.700,,1.000,5.1,2.6,1.3,0.4,0.0,0.0,castlco01
