,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1st,G,Kobe Bryant,29,LAL,52,60,0.867,82,38.9,28.3,6.3,5.4,1.8,0.5,.459,.361,.840,13.8,.208,4.3,0.6,105,bryanko01
1st,F,Kevin Garnett,31,BOS,52,60,0.867,71,32.8,18.8,9.2,3.4,1.4,1.3,.539,.000,.801,12.9,.265,6.2,3.5,94,garneke01
1st,C,Marcus Camby,33,DEN,37,60,0.617,79,34.9,9.1,13.1,3.3,1.1,3.6,.450,.300,.708,8.5,.148,5.9,3.3,98,cambyma01
1st,G,Bruce Bowen,36,SAS,36,60,0.600,81,30.2,6.0,2.9,1.1,0.7,0.3,.407,.419,.652,4.4,.085,3.4,1.5,105,bowenbr01
1st,F,Tim Duncan,31,SAS,33,60,0.550,78,34.0,19.3,11.3,2.8,0.7,1.9,.497,.000,.730,11.1,.201,6.2,2.2,97,duncati01
2nd,F,Shane Battier,29,HOU,29,60,0.483,80,36.3,9.3,5.1,1.9,1.0,1.1,.428,.377,.743,8.2,.135,4.6,1.9,103,battish01
2nd,G,Chris Paul,22,NOH,26,60,0.433,80,37.6,21.1,4.0,11.6,2.7,0.1,.488,.369,.851,17.8,.284,4.6,3.2,103,paulch01
2nd,C,Dwight Howard,22,ORL,25,60,0.417,82,37.7,20.7,14.2,1.3,0.9,2.1,.599,.000,.590,12.9,.200,6.4,1.2,99,howardw01
2nd,F,Tayshaun Prince,27,DET,20,60,0.333,82,32.9,13.2,4.9,3.3,0.5,0.4,.448,.363,.768,7.5,.133,3.2,-0.1,106,princta01
2nd,G,Raja Bell,31,PHO,18,60,0.300,75,35.3,11.9,3.7,2.2,0.7,0.4,.421,.401,.868,4.5,.082,1.5,-0.5,111,bellra01
ORV,G,Chauncey Billups,31,DET,14,60,0.233,78,32.3,17.0,2.7,6.8,1.3,0.2,.448,.401,.918,13.5,.257,3.4,1.2,105,billuch01
ORV,G,Jason Kidd,34,TOT,13,60,0.217,80,36.3,10.8,7.5,10.1,1.7,0.3,.385,.381,.818,5.9,.097,3.8,1.3,105,kiddja01
ORV,F,Rasheed Wallace,33,DET,13,60,0.217,77,30.5,12.7,6.6,1.8,1.2,1.7,.432,.356,.767,7.6,.155,5.1,2.6,98,wallara01
ORV,G,Rajon Rondo,21,BOS,11,60,0.183,77,29.9,10.6,4.2,5.1,1.7,0.2,.492,.263,.611,7.2,.150,4.9,2.6,98,rondora01
ORV,C,Tyson Chandler,25,NOH,8,60,0.133,79,35.2,11.8,11.7,1.0,0.6,1.1,.623,.000,.593,10.0,.172,4.1,-0.2,104,chandty01
ORV,F,Josh Smith,22,ATL,8,60,0.133,81,35.5,17.2,8.2,3.4,1.5,2.8,.457,.253,.710,5.8,.097,4.6,2.5,103,smithjo03
