,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,F,Giannis Antetokounmpo,24,MIL,500,500,1,100,0,0,72,32.8,27.7,12.5,5.9,1.3,1.5,.578,.256,.729,14.4,.292,antetgi01
1st,G,James Harden,29,HOU,500,500,1,100,0,0,78,36.8,36.1,6.6,7.5,2.0,0.7,.442,.368,.879,15.2,.254,hardeja01
1st,G,Stephen Curry,30,GSW,482,500,0.964,91,9,0,69,33.8,27.3,5.3,5.2,1.3,0.4,.472,.437,.916,9.7,.199,curryst01
1st,F,Paul George,28,OKC,433,500,0.866,71,25,3,77,36.9,28.0,8.2,4.1,2.2,0.4,.438,.386,.839,11.9,.201,georgpa01
1st,C,Nikola Jokić,23,DEN,411,500,0.822,59,38,2,80,31.3,20.1,10.8,7.3,1.4,0.7,.511,.307,.821,11.8,.226,jokicni01
2nd,C,Joel Embiid,24,PHI,375,500,0.75,40,57,4,64,33.7,27.5,13.6,3.7,0.7,1.9,.484,.300,.804,8.7,.194,embiijo01
2nd,F,Kevin Durant,30,GSW,358,500,0.716,29,71,0,78,34.6,26.0,6.4,5.9,0.7,1.1,.521,.353,.885,11.5,.204,duranke01
2nd,G,Damian Lillard,28,POR,306,500,0.612,8,87,5,80,35.5,25.8,4.6,6.9,1.1,0.4,.444,.369,.912,12.1,.205,lillada01
2nd,F,Kawhi Leonard,27,TOR,242,500,0.484,0,73,23,60,34.0,26.6,7.3,3.3,1.8,0.4,.496,.371,.854,9.5,.224,leonaka01
2nd,G,Kyrie Irving,26,BOS,195,500,0.39,0,52,39,67,33.0,23.8,5.0,6.9,1.5,0.5,.487,.401,.873,9.1,.197,irvinky01
3rd,G,Russell Westbrook,30,OKC,178,500,0.356,1,43,44,73,36.0,22.9,11.1,10.7,1.9,0.5,.428,.290,.656,6.8,.124,westbru01
3rd,F,Blake Griffin,29,DET,115,500,0.23,0,13,76,75,35.0,24.5,7.5,5.4,0.7,0.4,.462,.362,.753,8.0,.147,griffbl01
3rd,F,LeBron James,34,LAL,111,500,0.222,0,13,72,55,35.2,27.4,8.5,8.3,1.3,0.6,.510,.339,.665,7.2,.179,jamesle01
3rd,C,Rudy Gobert,26,UTA,89,500,0.178,1,5,69,81,31.8,15.9,12.9,2.0,0.8,2.3,.669,,.636,14.4,.268,goberru01
3rd,G,Kemba Walker,28,CHO,51,500,0.102,0,4,39,82,34.9,25.6,4.4,5.9,1.2,0.4,.434,.356,.844,7.4,.123,walkeke02
ORV,G,Bradley Beal,25,WAS,34,500,0.068,0,1,31,82,36.9,25.6,5.0,5.5,1.5,0.7,.475,.351,.808,7.6,.120,bealbr01
ORV,G,Klay Thompson,28,GSW,27,500,0.054,0,3,18,78,34.0,21.5,3.8,2.4,1.1,0.6,.467,.402,.816,5.3,.095,thompkl01
ORV,C,Karl-Anthony Towns,23,MIN,20,500,0.04,0,0,20,77,33.1,24.4,12.4,3.4,0.9,1.6,.518,.400,.836,10.4,.197,townska01
ORV,F,LaMarcus Aldridge,33,SAS,17,500,0.034,0,2,11,81,33.2,21.3,9.2,2.4,0.5,1.3,.519,.238,.847,9.3,.167,aldrila01
ORV,F,Danilo Gallinari,30,LAC,7,500,0.014,0,1,4,68,30.3,19.8,6.1,2.6,0.7,0.3,.463,.433,.904,8.2,.191,gallida01
ORV,G,Ben Simmons,22,PHI,7,500,0.014,0,0,7,79,34.2,16.9,8.8,7.7,1.4,0.8,.563,.000,.600,8.2,.146,simmobe01
ORV,G,Mike Conley,31,MEM,4,500,0.008,0,0,4,70,33.5,21.1,3.4,6.4,1.3,0.3,.438,.364,.845,8.0,.164,conlemi01
ORV,G,Donovan Mitchell,22,UTA,4,500,0.008,0,0,4,77,33.7,23.8,4.1,4.2,1.4,0.4,.432,.362,.806,5.0,.092,mitchdo01
ORV,F,Pascal Siakam,24,TOR,4,500,0.008,0,0,4,80,31.9,16.9,6.9,3.1,0.9,0.7,.549,.369,.785,9.3,.175,siakapa01
ORV,C,Nikola Vučević,28,ORL,4,500,0.008,0,0,4,80,31.4,20.8,12.0,3.8,1.0,1.1,.518,.364,.789,10.1,.193,vucevni01
ORV,F,Luka Dončić,19,DAL,3,500,0.006,0,1,0,72,32.2,21.2,7.8,6.0,1.1,0.3,.427,.327,.713,4.9,.101,doncilu01
ORV,C,Andre Drummond,25,DET,3,500,0.006,0,1,0,79,33.5,17.3,15.6,1.4,1.7,1.7,.533,.132,.590,10.0,.181,drumman01
ORV,G,Dwyane Wade,37,MIA,3,500,0.006,0,1,0,72,26.2,15.0,4.0,4.2,0.8,0.5,.433,.330,.708,2.4,.061,wadedw01
ORV,G,DeMar DeRozan,29,SAS,3,500,0.006,0,0,3,77,34.9,21.2,6.0,6.2,1.1,0.5,.481,.156,.830,6.3,.112,derozde01
ORV,G,D'Angelo Russell,22,BRK,3,500,0.006,0,0,0,81,30.2,21.1,3.9,7.0,1.2,0.2,.434,.369,.780,5.0,.097,russeda01
ORV,F,Tobias Harris,26,TOT,2,500,0.004,0,0,2,82,34.7,20.0,7.9,2.8,0.6,0.5,.487,.397,.866,7.1,.120,harrito02
ORV,F,Marvin Bagley III,19,SAC,1,500,0.002,0,0,1,62,25.3,14.9,7.6,1.0,0.5,1.0,.504,.313,.691,3.6,.110,baglema01
ORV,G,Devin Booker,22,PHO,1,500,0.002,0,0,1,64,35.0,26.6,4.1,6.8,0.9,0.2,.467,.326,.866,3.5,.076,bookede01
ORV,C,Anthony Davis,25,NOP,1,500,0.002,0,0,1,56,33.0,25.9,12.0,3.9,1.6,2.4,.517,.331,.794,9.5,.247,davisan02
ORV,G,Eric Gordon,30,HOU,1,500,0.002,0,0,1,68,31.7,16.2,2.2,1.9,0.6,0.4,.409,.360,.783,2.6,.059,gordoer01
ORV,G,Jrue Holiday,28,NOP,1,500,0.002,0,0,1,67,35.9,21.2,5.0,7.7,1.6,0.8,.472,.325,.768,5.4,.108,holidjr01
ORV,G,Kyle Lowry,32,TOR,1,500,0.002,0,0,1,65,34.0,14.2,4.8,8.7,1.4,0.5,.411,.347,.830,6.6,.144,lowryky01
ORV,F,Domantas Sabonis,22,IND,1,500,0.002,0,0,1,74,24.8,14.1,9.3,2.9,0.6,0.4,.590,.529,.715,7.6,.197,sabondo01
ORV,C,Myles Turner,22,IND,1,500,0.002,0,0,1,74,28.6,13.3,7.2,1.6,0.8,2.7,.487,.388,.736,6.3,.144,turnemy01
ORV,G,Lou Williams,32,LAC,1,500,0.002,0,0,1,75,26.6,20.0,3.0,5.4,0.8,0.1,.425,.361,.876,5.1,.123,willilo02
