 
,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1,Dwight Howard,25,ORL,114.0,585.0,600,0.975,78,37.6,22.9,14.1,1.4,1.4,2.4,.593,.000,.596,14.4,.235,7.7,2.4,94,howardw01
2,Kevin Garnett,34,BOS,1.0,77.0,600,0.128,71,31.3,14.9,8.9,2.4,1.3,0.8,.528,.200,.862,9.0,.194,5.6,2.9,95,garneke01
3,Tyson Chandler,28,DAL,0.0,70.0,600,0.117,74,27.8,10.1,9.4,0.4,0.5,1.1,.654,,.732,9.4,.218,3.5,1.0,102,chandty01
4,Tony Allen,29,MEM,0.0,53.0,600,0.088,72,20.8,8.9,2.7,1.4,1.8,0.6,.510,.174,.753,4.7,.152,2.7,3.5,101,allento01
5,Rajon Rondo,24,BOS,0.0,45.0,600,0.075,68,37.2,10.6,4.4,11.2,2.3,0.2,.475,.233,.568,6.6,.126,4.8,1.4,100,rondora01
6,Andrew Bogut,26,MIL,0.0,32.0,600,0.053,65,35.3,12.8,11.1,2.0,0.7,2.6,.495,.000,.442,5.4,.112,5.1,2.4,97,bogutan01
7,Grant Hill,38,PHO,1.0,30.0,600,0.050,80,30.1,13.2,4.2,2.5,0.8,0.4,.484,.395,.829,4.4,.087,1.3,-0.3,111,hillgr01
8,Andre Iguodala,27,PHI,0.0,29.0,600,0.048,67,36.9,14.1,5.8,6.3,1.5,0.6,.445,.337,.693,6.7,.130,3.5,1.6,104,iguodan01
9,LeBron James,26,MIA,0.0,25.0,600,0.042,79,38.8,26.7,7.5,7.0,1.6,0.6,.510,.330,.759,15.6,.244,5.3,1.8,102,jamesle01
10,Luol Deng,25,CHI,0.0,24.0,600,0.040,82,39.1,17.4,5.8,2.8,1.0,0.6,.460,.345,.753,9.9,.149,5.2,0.6,102,denglu01
11,Kobe Bryant,32,LAL,0.0,18.0,600,0.030,82,33.9,25.3,5.1,4.7,1.2,0.1,.451,.323,.828,10.3,.178,3.5,-0.2,105,bryanko01
12T,Chuck Hayes,27,HOU,2.0,13.0,600,0.022,74,28.1,7.9,8.1,2.7,1.1,0.7,.527,.000,.662,6.3,.146,2.4,1.3,106,hayesch01
12T,Chris Paul,25,NOH,0.0,13.0,600,0.022,80,36.0,15.9,4.1,9.8,2.4,0.1,.463,.388,.878,13.9,.232,4.4,2.8,103,paulch01
14,Serge Ibaka,21,OKC,0.0,12.0,600,0.020,82,27.0,9.9,7.6,0.3,0.4,2.4,.543,.000,.750,7.6,.164,3.2,0.7,104,ibakase01
15,Joakim Noah,25,CHI,1.0,11.0,600,0.018,48,32.8,11.7,10.4,2.2,1.0,1.5,.525,.000,.739,6.7,.205,3.6,2.1,97,noahjo01
16,Dwyane Wade,29,MIA,0.0,8.0,600,0.013,76,37.1,25.5,6.4,4.6,1.5,1.1,.500,.306,.758,12.8,.218,4.7,1.1,102,wadedw01
17,Tim Duncan,34,SAS,0.0,7.0,600,0.012,76,28.4,13.4,8.9,2.7,0.7,1.9,.500,.000,.716,7.7,.171,4.0,2.2,100,duncati01
18,Metta World Peace,31,LAL,0.0,6.0,600,0.010,82,29.4,8.5,3.3,2.1,1.5,0.4,.397,.356,.676,4.4,.088,3.2,1.5,105,artesro01
19T,Keith Bogans,30,CHI,1.0,5.0,600,0.008,82,17.8,4.4,1.8,1.2,0.5,0.1,.404,.380,.656,3.6,.118,2.2,1.4,103,boganke01
19T,JaVale McGee,23,WAS,0.0,5.0,600,0.008,79,27.8,10.1,8.0,0.5,0.5,2.4,.550,.000,.583,5.3,.115,2.5,0.4,106,mcgeeja01
21,Thabo Sefolosha,26,OKC,0.0,4.0,600,0.007,79,25.9,5.1,4.4,1.4,1.2,0.5,.471,.275,.747,4.1,.097,2.5,1.9,106,sefolth01
22,Andrew Bynum,23,LAL,0.0,3.0,600,0.005,54,27.8,11.3,9.4,1.4,0.4,2.0,.574,,.660,6.6,.210,2.8,1.4,100,bynuman01
23T,Kenyon Martin,33,DEN,0.0,2.0,600,0.003,48,25.7,8.6,6.2,2.3,0.9,0.7,.511,.222,.583,2.7,.104,1.6,1.7,105,martike01
23T,Gerald Wallace,28,TOT,0.0,2.0,600,0.003,71,37.9,15.7,8.0,2.4,1.5,0.9,.454,.333,.746,6.2,.111,3.6,1.1,105,wallage01
25,Josh Smith,25,ATL,0.0,1.0,600,0.002,77,34.4,16.5,8.5,3.3,1.3,1.6,.477,.331,.725,6.4,.116,4.5,1.7,102,smithjo03
