,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1,Jimmy Butler,25,CHI,92.0,535.0,645,0.829,65,38.7,20.0,5.8,3.3,1.8,0.6,.462,.378,.834,11.2,.214,butleji01
2,Draymond Green,24,GSW,11.0,200.0,645,0.310,79,31.5,11.7,8.2,3.7,1.6,1.3,.443,.337,.660,8.5,.163,greendr01
3,Rudy Gobert,22,UTA,12.0,189.0,645,0.293,82,26.3,8.4,9.5,1.3,0.8,2.3,.604,.000,.623,9.3,.206,goberru01
4,Hassan Whiteside,25,MIA,5.0,88.0,645,0.136,48,23.8,11.8,10.0,0.1,0.6,2.6,.628,,.500,5.3,.221,whiteha01
5,Klay Thompson,24,GSW,2.0,42.0,645,0.065,77,31.9,21.7,3.2,2.9,1.1,0.8,.463,.439,.879,8.8,.172,thompkl01
6,Anthony Davis,21,NOP,4.0,27.0,645,0.042,68,36.1,24.4,10.2,2.2,1.5,2.9,.535,.083,.805,14.0,.274,davisan02
7,Giannis Antetokounmpo,20,MIL,1.0,22.0,645,0.034,81,31.4,12.7,6.7,2.6,0.9,1.0,.491,.159,.741,6.2,.117,antetgi01
8,Donatas Motiejūnas,24,HOU,0.0,7.0,645,0.011,71,28.7,12.0,5.9,1.8,0.8,0.5,.504,.368,.602,4.7,.110,motiedo01
9,Dennis Schröder,21,ATL,0.0,6.0,645,0.009,77,19.7,10.0,2.1,4.1,0.6,0.1,.427,.351,.827,2.5,.080,schrode01
10T,DeMarre Carroll,28,ATL,1.0,5.0,645,0.008,70,31.3,12.6,5.3,1.7,1.3,0.2,.487,.395,.702,7.0,.154,carrode01
10T,Tyler Zeller,25,BOS,1.0,5.0,645,0.008,82,21.1,10.2,5.7,1.4,0.2,0.6,.549,,.823,6.5,.179,zellety01
12T,DeMarcus Cousins,24,SAC,0.0,4.0,645,0.006,59,34.1,24.1,12.7,3.6,1.5,1.7,.467,.250,.782,6.0,.144,couside01
12T,Khris Middleton,23,MIL,0.0,4.0,645,0.006,79,30.1,13.4,4.4,2.3,1.5,0.1,.467,.407,.859,6.7,.135,middlkh01
14T,Jae Crowder,24,TOT,0.0,3.0,645,0.005,82,20.1,7.7,3.6,1.1,0.9,0.3,.420,.293,.773,3.9,.113,crowdja01
14T,Kyrie Irving,22,CLE,0.0,3.0,645,0.005,75,36.4,21.7,3.2,5.2,1.5,0.3,.468,.415,.863,10.4,.183,irvinky01
14T,DeAndre Jordan,26,LAC,0.0,3.0,645,0.005,82,34.4,11.5,15.0,0.7,1.0,2.2,.710,.250,.397,12.8,.217,jordade01
14T,Victor Oladipo,22,ORL,0.0,3.0,645,0.005,72,35.7,17.9,4.2,4.1,1.7,0.3,.436,.339,.819,3.5,.065,oladivi01
18T,Kentavious Caldwell-Pope,21,DET,0.0,2.0,645,0.003,82,31.5,12.7,3.1,1.3,1.1,0.2,.401,.345,.696,2.8,.052,caldwke01
18T,Nikola Vučević,24,ORL,0.0,2.0,645,0.003,74,34.2,19.3,10.9,2.0,0.7,0.7,.523,.333,.752,7.0,.133,vucevni01
20T,Robert Covington,24,PHI,0.0,1.0,645,0.002,70,27.9,13.5,4.5,1.5,1.4,0.4,.396,.374,.820,4.0,.097,covinro01
20T,Tyreke Evans,25,NOP,0.0,1.0,645,0.002,79,34.1,16.6,5.3,6.6,1.3,0.5,.447,.304,.694,4.6,.082,evansty01
20T,Derrick Favors,23,UTA,0.0,1.0,645,0.002,74,30.8,16.0,8.2,1.5,0.8,1.7,.525,.167,.669,8.3,.175,favorde01
20T,Enes Freedom,22,TOT,0.0,1.0,645,0.002,75,28.5,15.5,8.9,0.7,0.5,0.4,.519,.356,.782,6.4,.145,kanteen01
20T,Marc Gasol,30,MEM,0.0,1.0,645,0.002,81,33.2,17.4,7.8,3.8,0.9,1.6,.494,.176,.795,10.2,.182,gasolma01
20T,Tobias Harris,22,ORL,0.0,1.0,645,0.002,68,34.8,17.1,6.3,1.8,1.0,0.5,.466,.364,.788,4.8,.098,harrito02
20T,Gordon Hayward,24,UTA,0.0,1.0,645,0.002,76,34.4,19.3,4.9,4.1,1.4,0.4,.445,.364,.812,8.7,.159,haywago01
20T,George Hill,28,IND,0.0,1.0,645,0.002,43,29.5,16.1,4.2,5.1,1.0,0.3,.477,.358,.790,5.4,.203,hillge01
20T,Brandon Knight,23,TOT,0.0,1.0,645,0.002,63,32.3,17.0,3.9,5.2,1.4,0.2,.422,.389,.874,4.5,.106,knighbr03
20T,Kawhi Leonard,23,SAS,0.0,1.0,645,0.002,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,.349,.802,8.6,.204,leonaka01
20T,Meyers Leonard,22,POR,0.0,1.0,645,0.002,55,15.4,5.9,4.5,0.6,0.2,0.3,.510,.420,.938,2.8,.158,leoname01
