,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Kyle Alexander,Aug 6 '20 MIA @ MIL,23,1,2,13,1,2,0,0,0,0,2,3,0,0,0,1,1,2,.500,,,6.5,1.0,1.5,0.0,0.0,0.0,alexaky01
2,Nickeil Alexander-Walker,Oct 22 '19 NOP @ TOR,21,5,279,5373,835,2076,379,1090,229,317,98,637,614,191,108,329,447,2278,.402,.348,.722,19.3,8.2,2.3,2.2,0.7,0.4,alexani01
3,RJ Barrett,Oct 23 '19 NYK @ SAS,19,5,321,10675,2115,4895,528,1524,1114,1569,287,1733,926,209,85,677,737,5872,.432,.346,.710,33.3,18.3,5.4,2.9,0.7,0.3,barrerj01
4,Darius Bazley,Oct 23 '19 OKC @ UTA,19,5,231,5394,755,1840,232,749,323,480,186,1217,277,132,170,285,227,2065,.410,.310,.673,23.4,8.9,5.3,1.2,0.6,0.7,bazleda01
5,Goga Bitadze,Oct 26 '19 IND @ CLE,20,5,237,3092,468,911,59,239,206,307,326,832,227,85,234,149,431,1201,.514,.247,.671,13.0,5.1,3.5,1.0,0.4,1.0,bitadgo01
6,Bol Bol,Aug 1 '20 DEN vs. MIA,20,5,146,2085,368,679,52,177,109,148,100,544,97,41,118,150,149,897,.542,.294,.736,14.3,6.1,3.7,0.7,0.3,0.8,bolbo01
7,Marques Bolden,Feb 1 '20 CLE vs. GSW,21,3,11,48,1,4,0,0,5,8,3,11,0,3,2,3,3,7,.250,,.625,4.4,0.6,1.0,0.0,0.3,0.2,boldema01
8,Jordan Bone,Nov 4 '19 DET @ WAS,22,2,24,249,28,74,12,42,0,0,4,28,26,3,0,5,17,68,.378,.286,,10.4,2.8,1.2,1.1,0.1,0.0,bonejo01
9,Brian Bowen,Nov 12 '19 IND vs. OKC,21,2,12,46,4,14,0,3,1,1,1,10,0,0,1,1,4,9,.286,.000,1.000,3.8,0.8,0.8,0.0,0.0,0.1,bowenbr02
10,Ky Bowman,Oct 24 '19 GSW vs. LAC,22,1,45,1015,134,321,33,107,34,41,24,121,131,44,10,70,102,335,.417,.308,.829,22.6,7.4,2.7,2.9,1.0,0.2,bowmaky01
11,Jarrell Brantley,Oct 25 '19 UTA @ LAL,23,3,41,273,43,94,19,50,5,6,12,53,29,10,9,17,27,110,.457,.380,.833,6.7,2.7,1.3,0.7,0.2,0.2,brantja01
12,Ignas Brazdeikis,Nov 3 '19 NYK vs. SAC,21,3,64,838,122,293,39,124,35,51,36,122,58,14,7,31,73,318,.416,.315,.686,13.1,5.0,1.9,0.9,0.2,0.1,brazdig01
13,Oshae Brissett,Nov 18 '19 TOR vs. CHO,21,5,212,3728,467,1122,179,528,312,439,245,827,172,116,67,118,284,1425,.416,.339,.711,17.6,6.7,3.9,0.8,0.5,0.3,brissos01
14,Charlie Brown Jr.,Nov 6 '19 ATL vs. CHI,22,4,48,405,31,111,11,49,23,25,20,55,17,16,10,16,45,96,.279,.224,.920,8.4,2.0,1.1,0.4,0.3,0.2,brownch02
15,Moses Brown,Nov 10 '19 POR vs. ATL,20,5,140,1696,288,507,0,0,158,285,272,721,20,45,82,87,207,734,.568,,.554,12.1,5.2,5.2,0.1,0.3,0.6,brownmo01
16,Devontae Cacok,Aug 13 '20 LAL vs. SAC,23,3,36,228,41,66,0,0,9,18,22,79,8,13,11,8,24,91,.621,,.500,6.3,2.5,2.2,0.2,0.4,0.3,cacokde01
17,Vlatko Čančar,Oct 31 '19 DEN @ NOP,22,4,130,1391,170,355,60,166,61,72,48,219,114,36,20,63,127,461,.479,.361,.847,10.7,3.5,1.7,0.9,0.3,0.2,cancavl01
18,Zylan Cheatham,Nov 16 '19 NOP @ MIA,24,2,5,56,6,12,0,3,0,0,3,9,3,1,1,4,10,12,.500,.000,,11.2,2.4,1.8,0.6,0.2,0.2,cheatzy01
19,Brandon Clarke,Oct 23 '19 MEM @ MIA,23,4,237,5051,1069,1770,49,169,347,492,416,1325,334,165,204,177,437,2534,.604,.290,.705,21.3,10.7,5.6,1.4,0.7,0.9,clarkbr01
20,Nic Claxton,Nov 8 '19 BRK @ POR,20,5,221,5526,977,1473,3,18,304,556,476,1677,332,146,396,221,531,2261,.663,.167,.547,25.0,10.2,7.6,1.5,0.7,1.8,claxtni01
21,Chris Clemons,Nov 3 '19 HOU @ MIA,22,1,33,291,57,142,37,107,10,11,4,30,27,9,6,19,26,161,.401,.346,.909,8.8,4.9,0.9,0.8,0.3,0.2,clemoch01
22,Amir Coffey,Dec 31 '19 LAC @ SAC,22,5,229,3652,440,969,176,465,226,278,75,393,257,88,29,109,252,1282,.454,.378,.813,15.9,5.6,1.7,1.1,0.4,0.1,coffeam01
23,Tyler Cook,Oct 26 '19 CLE vs. IND,22,3,65,692,100,153,1,2,45,75,50,162,21,15,6,31,68,246,.654,.500,.600,10.6,3.8,2.5,0.3,0.2,0.1,cookty01
24,Jarrett Culver,Oct 23 '19 MIN @ BRK,20,4,144,2480,367,915,92,333,108,212,127,402,173,100,54,136,239,934,.401,.276,.509,17.2,6.5,2.8,1.2,0.7,0.4,culveja01
25,Terence Davis,Oct 22 '19 TOR vs. NOP,22,4,227,3660,661,1523,330,901,166,201,101,624,305,151,51,225,395,1818,.434,.366,.826,16.1,8.0,2.7,1.3,0.7,0.2,daviste02
26,Luguentz Dort,Dec 6 '19 OKC vs. MIN,20,5,272,7976,1181,2947,526,1522,611,772,290,1048,434,250,105,332,800,3499,.401,.346,.791,29.3,12.9,3.9,1.6,0.9,0.4,dortlu01
27,Sekou Doumbouya,Nov 23 '19 DET @ MIL,19,3,96,1639,204,526,55,215,79,114,61,267,66,47,19,81,175,542,.388,.256,.693,17.1,5.6,2.8,0.7,0.5,0.2,doumbse01
28,Carsen Edwards,Oct 23 '19 BOS @ PHI,21,3,72,706,98,269,46,155,25,33,11,79,52,21,5,27,63,267,.364,.297,.758,9.8,3.7,1.1,0.7,0.3,0.1,edwarca01
29,Tacko Fall,Oct 26 '19 BOS @ NYK,24,3,37,228,37,55,0,0,8,25,24,90,6,2,30,12,32,82,.673,,.320,6.2,2.2,2.4,0.2,0.1,0.8,fallta01
30,Bruno Fernando,Oct 24 '19 ATL @ DET,21,5,181,1742,259,486,6,48,119,187,181,539,111,37,78,113,264,643,.533,.125,.636,9.6,3.6,3.0,0.6,0.2,0.4,fernabr01
31,Michael Frazier,Jan 9 '20 HOU @ OKC,25,1,13,145,7,29,4,23,9,14,1,10,2,2,0,5,22,27,.241,.174,.643,11.2,2.1,0.8,0.2,0.2,0.0,frazimi01
32,Wenyen Gabriel,Oct 23 '19 SAC @ PHO,22,4,145,1858,254,478,37,116,103,165,196,489,69,51,61,93,283,648,.531,.319,.624,12.8,4.5,3.4,0.5,0.4,0.4,gabriwe01
33,Daniel Gafford,Oct 26 '19 CHI vs. TOR,21,5,301,5791,1056,1508,0,1,434,643,618,1599,277,151,437,275,721,2546,.700,.000,.675,19.2,8.5,5.3,0.9,0.5,1.5,gaffoda01
34,Darius Garland,Oct 23 '19 CLE @ ORL,20,5,286,9674,1944,4322,630,1632,776,894,134,736,1898,331,30,876,518,5294,.450,.386,.868,33.8,18.5,2.6,6.6,1.2,0.1,garlada01
35,Javonte Green,Oct 25 '19 BOS vs. TOR,26,4,186,2940,353,661,68,199,168,223,168,528,126,143,67,92,272,942,.534,.342,.753,15.8,5.1,2.8,0.7,0.8,0.4,greenja02
