Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Hassan Adams,SG,22,NJN,6,9,0.5,.500,.000,.000,0.0,13.0,6.6,0.0,0.0,0.0,0.0,10.7,,0.0,0.0,0.0,.063,,-10.3,0.1,-10.2,0.0,adamsha01
2,Maurice Ager,SG,22,DAL,3,24,20.9,.644,.333,.667,4.6,9.5,7.0,0.0,0.0,0.0,0.0,21.1,,0.1,0.0,0.1,.179,,5.0,0.4,5.4,0.0,agerma01
3,Malik Allen,PF,28,CHI,5,34,-5.7,.167,.000,.000,13.9,10.2,12.0,4.8,1.6,2.4,20.0,20.4,,-0.2,0.0,-0.2,-0.229,,-12.1,-1.4,-13.5,-0.1,allenma01
4,Rafer Alston,PG,30,HOU,7,309,10.7,.477,.676,.176,2.3,15.4,9.0,21.0,2.3,0.7,17.6,15.2,,0.0,0.4,0.4,.063,,-2.6,2.6,0.0,0.2,alstora01
5,Carmelo Anthony,SF,22,DEN,5,210,22.1,.582,.184,.398,10.0,13.5,11.8,6.0,1.3,0.0,14.2,29.5,,0.5,0.1,0.6,.144,,5.8,-0.6,5.2,0.4,anthoca01
6,Rafael Araújo,C,26,UTA,5,28,12.6,.414,.000,1.500,12.5,33.7,23.1,5.5,1.9,0.0,0.0,21.3,,0.0,0.0,0.1,.114,,-2.8,-0.3,-3.1,0.0,araujra01
7,Trevor Ariza,SG,21,ORL,4,47,2.6,.310,.000,.250,12.8,10.0,11.4,17.4,1.2,0.0,18.4,22.3,,-0.2,0.0,-0.2,-0.173,,-6.7,-2.2,-8.9,-0.1,arizatr01
8,Carlos Arroyo,PG,27,ORL,3,40,12.6,.403,.143,.143,6.0,8.8,7.5,25.3,1.4,0.0,6.3,19.1,,0.0,0.0,0.0,.016,,-0.6,-0.7,-1.3,0.0,arroyca01
9,Kelenna Azubuike,SG,23,GSW,6,15,15.2,.515,.333,.667,7.2,23.1,14.9,0.0,3.4,0.0,0.0,11.4,,0.0,0.0,0.0,.157,,0.8,1.7,2.5,0.0,azubuke01
10,Marcus Banks,PG,25,PHO,2,7,7.4,.347,.500,1.000,0.0,0.0,0.0,17.6,0.0,0.0,0.0,18.6,,0.0,0.0,0.0,-0.008,,-4.4,-4.2,-8.5,0.0,banksma01
