Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Ray Allen*,SG,37,MIA,23,0,24.9,3.2,7.5,.430,1.7,4.2,.406,1.5,3.3,.461,.544,2.0,2.3,.870,0.6,2.2,2.8,1.3,0.5,0.1,1.2,1.8,10.2,allenra02
2,Tony Allen,SG,31,MEM,15,15,28.1,3.6,8.3,.432,0.1,0.5,.250,3.5,7.8,.444,.440,2.9,3.9,.759,2.5,3.6,6.1,1.8,2.0,0.3,1.3,3.2,10.3,allento01
3,Chris Andersen,C,34,MIA,20,0,15.2,2.3,2.9,.807,0.0,0.0,,2.3,2.9,.807,.807,1.8,2.5,.735,1.6,2.2,3.8,0.2,0.5,1.1,0.6,2.7,6.4,anderch01
4,James Anderson,SG,23,HOU,2,0,9.0,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,0.0,0.0,,0.5,1.5,2.0,0.0,0.0,0.0,0.0,1.0,1.0,anderja01
5,Carmelo Anthony,PF,28,NYK,12,12,40.1,10.5,25.8,.406,1.4,4.8,.298,9.1,21.1,.431,.434,6.4,7.3,.885,0.9,5.7,6.6,1.6,1.1,0.2,2.6,3.8,28.8,anthoca01
6,Joel Anthony,C,30,MIA,14,0,5.1,0.2,0.7,.300,0.0,0.0,,0.2,0.7,.300,.300,0.0,0.0,,0.7,0.8,1.5,0.0,0.1,0.3,0.2,0.9,0.4,anthojo01
7,Darrell Arthur,PF,24,MEM,15,0,11.7,1.7,3.5,.472,0.0,0.1,.000,1.7,3.4,.490,.472,0.5,0.6,.889,0.9,1.6,2.5,0.4,0.1,0.3,0.5,2.4,3.9,arthuda01
8,Ömer Aşık,C,26,HOU,6,6,34.7,3.7,6.5,.564,0.0,0.0,,3.7,6.5,.564,.564,5.0,7.8,.638,3.5,7.7,11.2,0.5,0.5,1.7,2.0,3.7,12.3,asikom01
9,D.J. Augustin,PG,25,IND,19,1,16.6,1.4,3.7,.380,1.0,2.5,.396,0.4,1.2,.348,.514,1.3,1.6,.806,0.1,0.7,0.8,0.7,0.4,0.0,0.5,1.4,5.2,augusdj01
10,Gustavo Ayón,C,27,MIL,3,0,2.3,0.7,1.3,.500,0.0,0.0,,0.7,1.3,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,ayongu01
11,Jeff Ayres,PF,25,IND,9,0,7.9,0.9,2.7,.333,0.0,0.1,.000,0.9,2.6,.348,.333,0.0,0.0,,0.4,1.6,2.0,0.1,0.0,0.2,0.3,1.6,1.8,pendeje02
