,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Steven Adams,C,25,OKC,5,159,,,,,100%,-11.7,-15.2,3,1,7,4,4,0,20,2,5,adamsst01
2,LaMarcus Aldridge,C,33,SAS,7,244,,,,,100%,-3.6,-6.5,2,4,9,0,12,0,45,1,3,aldrila01
3,Grayson Allen,SG,23,UTA,2,14,17%,83%,,,,-41.6,-34.7,0,0,0,0,4,0,0,1,0,allengr01
4,Jarrett Allen,C,20,BRK,5,110,,,,,100%,-23.4,-24.4,3,2,9,1,7,3,27,2,3,allenja01
5,Al-Farouq Aminu,PF,28,POR,16,399,,,,99%,1%,-2.8,-2.2,5,3,13,5,14,0,47,4,11,aminual01
6,Giannis Antetokounmpo,PF,24,MIL,15,514,,,,57%,43%,10.4,3.2,14,18,16,9,81,2,194,22,19,antetgi01
7,D.J. Augustin,PG,31,ORL,5,141,100%,,,,,-24.7,-22.7,1,4,3,1,6,0,45,0,6,augusdj01
8,Will Barton,SF,28,DEN,14,328,,3%,93%,4%,,-8.9,-21.5,6,3,10,2,12,0,54,0,10,bartowi01
9,Aron Baynes,C,32,BOS,9,115,,,,,100%,-15.6,-17.5,1,0,14,3,1,0,7,0,1,baynear01
10,Malik Beasley,SG,22,DEN,14,281,1%,44%,55%,,,0.1,-3.8,3,2,11,1,16,2,35,4,3,beaslma01
11,Marco Belinelli,SG,32,SAS,7,131,,70%,30%,,,2.3,6.9,0,1,4,0,2,2,17,1,1,belinma01
12,Jordan Bell,C,24,GSW,15,106,,,,7%,94%,-2.9,-7.1,0,0,6,2,5,0,28,0,3,belljo01
13,Dāvis Bertāns,PF,26,SAS,5,79,,,,100%,,8.5,13.6,1,0,9,0,2,0,10,0,0,bertada01
14,Patrick Beverley,PG,30,LAC,6,195,100%,,,,,-13.7,-14.7,4,1,5,2,2,8,69,2,1,beverpa01
15,Khem Birch,C,26,ORL,5,92,,,,,100%,-1.7,21.9,3,3,4,0,5,0,9,3,2,birchkh01
16,Eric Bledsoe,PG,29,MIL,15,423,100%,,,,,10.0,1.3,20,9,9,3,22,3,160,5,8,bledser01
17,Bojan Bogdanović,SF,29,IND,4,148,,,92%,8%,,-11.4,-20.4,2,3,3,1,6,2,27,3,5,bogdabo02
18,Andrew Bogut,C,34,GSW,19,179,,,,,100%,-1.8,-6.3,4,1,15,4,3,3,44,1,1,bogutan01
19,Jonah Bolden,PF,23,PHI,10,79,,,15%,60%,25%,-16.6,-22.3,3,3,6,3,2,0,7,0,0,boldejo01
20,Chris Boucher,PF,26,TOR,2,4,,,,100%,,-56.4,-62.3,0,0,0,0,1,0,0,1,1,bouchch01
21,Malcolm Brogdon,SG,26,MIL,7,198,,67%,32%,1%,,15.2,7.8,8,1,7,1,6,1,55,1,4,brogdma01
22,Bruce Brown,SG,22,DET,4,57,,,84%,16%,,-31.7,-10.1,0,2,6,0,1,1,5,0,1,brownbr01
23,Jaylen Brown,SG,22,BOS,9,274,,88%,12%,,,-8.6,-16.3,6,3,14,4,10,1,28,0,5,brownja02
24,Sterling Brown,SG,23,MIL,11,162,,46%,48%,5%,,11.2,2.3,0,4,4,3,5,0,46,1,3,brownst02
25,Deonte Burton,SG,25,OKC,3,4,,7%,93%,,,5.6,12.3,0,0,0,0,0,0,0,0,0,burtode02
26,Jimmy Butler,SF,29,PHI,12,421,,16%,83%,1%,,10.6,29.0,13,1,9,6,31,0,153,8,5,butleji01
27,José Calderón,PG,37,DET,3,10,100%,,,,,15.0,41.8,0,0,0,0,0,0,11,0,0,caldejo01
28,Clint Capela,C,24,HOU,11,331,,,,,100%,0.4,-7.9,6,5,11,2,19,1,41,3,10,capelca01
29,DeMarre Carroll,PF,32,BRK,5,119,,,,60%,40%,-13.7,-6.6,3,0,4,0,4,1,5,0,5,carrode01
30,Michael Carter-Williams,PG,27,ORL,5,92,92%,8%,,,,-8.1,11.4,4,1,3,1,3,3,30,2,0,cartemi01
31,Wilson Chandler,SF,31,LAC,4,52,,,46%,54%,,7.4,20.0,0,1,3,1,2,0,5,0,1,chandwi01
32,Gary Clark,PF,24,HOU,2,4,,,,100%,,-22.2,-25.9,0,0,0,0,0,0,0,0,0,clarkga01
33,Zach Collins,C,21,POR,16,275,,,,20%,80%,-2.7,-1.5,3,4,27,10,11,3,31,3,5,colliza01
34,Darren Collison,PG,31,IND,4,117,100%,,,,,-3.8,6.7,5,2,4,2,3,2,34,0,0,collida01
35,Pat Connaughton,SG,26,MIL,15,324,2%,86%,12%,,,9.4,0.0,4,3,8,1,2,3,50,1,4,connapa01
