,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Arron Afflalo,SG,24,DEN,6,120,.625,12.6,,.563,.344,.156,.031,.031,.438,,.778,1.000,.600,.000,.000,.429,,.571,1.000,,.000,0,,.786,.455,,0,0,afflaar01
2,LaMarcus Aldridge,PF,24,POR,6,229,.430,13.3,,.978,.183,.108,.204,.484,.022,,.429,.882,.400,.579,.200,.500,,.641,1.000,,.065,6,,.500,1.000,,0,0,aldrila01
3,Malik Allen,PF,31,DEN,4,11,.000,7.2,,1.000,.000,1.000,.000,.000,.000,,.000,,.000,,,,,,,,.000,0,,,,,0,0,allenma01
4,Ray Allen*,SG,34,BOS,24,925,.431,17.1,,.523,.201,.049,.063,.211,.477,,.472,.541,.400,.316,.469,.386,,.667,.929,,.007,2,,.303,.477,,0,0,allenra02
5,Tony Allen,SG,28,BOS,24,391,.480,5.3,,.949,.673,.143,.071,.061,.051,,.505,.561,.357,.286,.500,.000,,.787,,,.082,8,,.400,.000,,1,0,allento01
6,Lou Amundson,PF,27,PHO,16,194,.528,2.8,,1.000,.750,.083,.139,.028,.000,,.528,.556,.000,.600,1.000,,,.632,,,.167,6,,,,,0,0,amundlo01
7,Chris Andersen,PF,31,DEN,6,116,.529,4.2,,1.000,.765,.000,.059,.176,.000,,.529,.538,,1.000,.333,,,.889,,,.235,3,,,,,0,0,anderch01
8,Ryan Anderson,PF,21,ORL,9,89,.310,13.2,,.517,.448,.000,.034,.034,.483,,.333,.385,,.000,.000,.286,,.600,1.000,,.034,1,,.286,.500,,0,0,anderry01
9,Carmelo Anthony,SF,25,DEN,6,254,.464,11.4,,.862,.362,.051,.188,.261,.138,,.487,.560,.429,.462,.417,.316,,.276,.833,,.014,2,,.211,.250,,1,0,anthoca01
10,Joel Anthony,C,27,MIA,5,79,.714,1.0,,1.000,1.000,.000,.000,.000,.000,,.714,.714,,,,,,.800,,,.286,2,,,,,0,0,anthojo01
11,Carlos Arroyo,PG,30,MIA,5,115,.462,17.3,,.962,.077,.038,.115,.731,.038,,.480,.000,.000,.333,.579,.000,,.583,,,.000,0,,1.000,.000,,0,0,arroyca01
12,D.J. Augustin,PG,22,CHA,4,73,.294,16.2,,.647,.235,.000,.059,.353,.353,,.273,.500,,1.000,.000,.333,,.000,1.000,,.000,0,,.167,1.000,,0,0,augusdj01
13,Jeff Ayres,C,22,POR,3,17,.500,2.7,,1.000,.750,.000,.250,.000,.000,,.500,.667,,.000,,,,.500,,,.750,2,,,,,0,0,pendeje02
14,Leandro Barbosa,PG,27,PHO,16,250,.417,13.5,,.660,.340,.087,.039,.194,.340,,.456,.514,.222,.000,.550,.343,,.129,.750,,.000,0,,.286,.400,,0,0,barbole01
15,J.J. Barea,PG,25,DAL,6,105,.405,10.9,,.730,.378,.243,.054,.054,.270,,.407,.643,.222,.000,.000,.400,,.273,.750,,.000,0,,.500,.200,,1,0,bareajo01
16,Matt Barnes,SF,29,ORL,14,326,.400,12.8,,.573,.413,.067,.013,.080,.427,,.419,.484,.200,.000,.333,.375,,.889,.917,,.080,5,,.500,.375,,0,0,barnema02
17,Brandon Bass,PF,24,ORL,7,42,.538,10.6,,1.000,.154,.308,.385,.154,.000,,.538,1.000,.250,.800,.000,,,.143,,,.077,1,,,,,0,0,bassbr01
18,Nicolas Batum,SF,21,POR,6,139,.459,16.7,,.432,.324,.000,.000,.108,.568,,.500,.583,,,.250,.429,,.625,.889,,.108,4,,.524,.273,,1,0,batumni01
19,Jerryd Bayless,SG,21,POR,6,166,.431,11.9,,.769,.354,.169,.015,.231,.231,,.440,.609,.273,1.000,.267,.400,,.409,1.000,,.046,2,,.200,.667,,0,0,bayleje01
20,Michael Beasley,PF,21,MIA,5,135,.449,9.2,,.959,.429,.082,.204,.245,.041,,.447,.524,.000,.400,.500,.500,,.571,1.000,,.082,4,,.000,,,0,0,beaslmi01
21,Rodrigue Beaubois,PG,21,DAL,4,31,.474,11.8,,.684,.316,.158,.158,.053,.316,,.538,.667,.667,.333,.000,.333,,.143,.000,,.000,0,,.000,,,0,0,beaubro01
