Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,PF-C,24,TOT,59,18,23.1,3.5,6.9,.500,0.4,1.5,.270,3.1,5.4,.564,.529,1.0,1.6,.621,2.7,4.0,6.7,1.4,0.7,1.0,1.2,1.9,8.4,achiupr01
1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,achiupr01
1,Precious Achiuwa,PF,24,NYK,34,18,27.1,3.7,7.1,.529,0.3,1.2,.262,3.4,5.8,.586,.552,1.0,1.6,.660,3.2,4.5,7.7,1.1,0.8,1.3,1.2,2.2,8.8,achiupr01
2,Bam Adebayo,C,26,MIA,56,56,34.5,7.6,14.9,.511,0.1,0.3,.188,7.6,14.6,.517,.513,4.6,6.0,.754,2.3,8.1,10.4,3.9,1.1,1.0,2.3,2.4,19.9,adebaba01
3,Ochai Agbaji,SG,23,TOT,66,17,19.6,2.1,5.2,.409,0.8,2.7,.309,1.3,2.4,.522,.491,0.4,0.5,.727,0.7,1.7,2.5,0.9,0.5,0.5,0.7,1.4,5.5,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4,agbajoc01
3,Ochai Agbaji,SG,23,TOR,15,7,19.5,2.3,6.2,.366,0.6,2.6,.231,1.7,3.6,.463,.414,0.6,0.9,.692,0.9,1.5,2.4,0.9,0.5,0.4,0.9,1.9,5.7,agbajoc01
4,Santi Aldama,PF,23,MEM,54,28,25.8,4.0,9.3,.431,1.6,4.9,.340,2.4,4.5,.529,.519,0.9,1.4,.613,1.2,4.4,5.6,2.2,0.7,0.8,1.2,1.4,10.5,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,66,18,23.4,2.8,6.3,.438,1.5,3.9,.384,1.3,2.4,.525,.556,0.6,0.8,.792,0.5,1.6,2.0,2.6,0.8,0.5,1.0,1.8,7.7,alexani01
6,Grayson Allen,SG,28,PHO,61,61,33.7,4.4,8.7,.504,2.7,5.7,.476,1.7,3.0,.557,.659,1.7,1.9,.889,0.6,3.2,3.8,3.0,0.9,0.6,1.3,2.2,13.2,allengr01
7,Jarrett Allen,C,25,CLE,61,61,31.7,6.6,10.5,.626,0.0,0.1,.000,6.6,10.4,.631,.626,3.1,4.2,.733,3.4,7.3,10.7,2.7,0.7,1.2,1.6,2.1,16.2,allenja01
8,Jose Alvarado,PG,25,NOP,45,0,17.2,2.5,6.0,.417,1.3,3.5,.369,1.2,2.5,.482,.524,0.6,0.9,.690,0.4,1.8,2.1,1.9,1.1,0.3,0.8,1.5,7.0,alvarjo01
9,Kyle Anderson,PF,30,MIN,63,7,22.4,2.5,5.3,.471,0.1,0.6,.211,2.3,4.7,.505,.483,1.2,1.7,.700,0.8,2.8,3.5,4.1,0.8,0.5,1.3,1.5,6.3,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,64,64,35.0,11.4,18.6,.616,0.5,1.8,.292,10.9,16.8,.650,.630,7.4,11.2,.665,2.5,8.7,11.2,6.4,1.2,1.0,3.4,2.9,30.8,antetgi01
11,Thanasis Antetokounmpo,PF,31,MIL,28,0,4.8,0.5,0.9,.500,0.0,0.0,.000,0.5,0.9,.520,.500,0.0,0.1,.000,0.2,0.2,0.4,0.5,0.2,0.1,0.4,0.8,0.9,antetth01
12,Cole Anthony,PG,23,ORL,66,0,22.9,4.0,9.4,.429,1.0,3.3,.316,3.0,6.1,.489,.484,2.5,3.1,.824,0.8,3.1,3.9,3.0,0.8,0.5,1.6,2.4,11.6,anthoco01
