,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
1,Shareef Abdur-Rahim,PF,28,POR,54,1867,.503,8.1,,.942,.397,.251,.101,.193,.058,,.510,.632,.405,.412,.450,.385,,.621,1.000,,.100,63,,.308,.583,,0,0,abdursh01
2,Cory Alexander,SG,31,CHA,16,201,.327,16.4,,.612,.204,.041,.163,.204,.388,,.267,.500,.000,.250,.100,.421,,.250,1.000,,.000,0,,.053,1.000,,0,0,alexaco01
3,Malik Allen,PF,26,TOT,36,519,.475,13.3,,1.000,.147,.130,.260,.463,.000,,.475,.808,.348,.391,.451,,,.643,,,.040,7,,,,,0,0,allenma01
3,Malik Allen,PF,26,MIA,14,248,.461,12.4,,1.000,.184,.158,.224,.434,.000,,.461,.786,.333,.471,.364,,,.571,,,.066,5,,,,,0,0,allenma01
3,Malik Allen,PF,26,CHA,22,271,.485,13.9,,1.000,.119,.109,.287,.485,.000,,.485,.833,.364,.345,.510,,,.694,,,.020,2,,,,,0,0,allenma01
4,Ray Allen*,SG,29,SEA,78,3064,.428,15.8,,.628,.185,.103,.138,.201,.372,,.459,.606,.364,.398,.415,.376,,.311,.804,,.021,27,,.185,.369,,5,0,allenra02
5,Tony Allen,SG,23,BOS,77,1262,.475,7.2,,.920,.574,.132,.041,.173,.080,,.483,.595,.118,.438,.403,.387,,.547,1.000,,.103,40,,.645,.450,,1,0,allento01
6,Rafer Alston,PG,28,TOR,80,2717,.414,14.3,,.601,.302,.103,.049,.147,.399,,.451,.514,.380,.396,.392,.357,,.152,.547,,.000,0,,.100,.308,,1,0,alstora01
7,Chris Andersen,C,26,NOH,67,1430,.534,6.2,,.992,.589,.075,.140,.187,.008,,.538,.678,.333,.300,.358,.000,,.634,,,.196,69,,.000,,,1,0,anderch01
8,Derek Anderson,SG,30,POR,47,1239,.389,16.9,,.614,.153,.074,.092,.294,.386,,.392,.633,.379,.306,.296,.384,,.436,.862,,.010,4,,.265,.375,,1,0,anderde01
9,Kenny Anderson,PG,34,TOT,43,743,.423,12.0,,.935,.249,.114,.219,.353,.065,,.420,.520,.304,.295,.465,.462,,.519,.833,,.000,0,,.615,.375,,0,0,anderke01
9,Kenny Anderson,PG,34,ATL,39,717,.426,11.9,,.932,.253,.116,.226,.337,.068,,.424,.500,.273,.302,.500,.462,,.507,.833,,.000,0,,.615,.375,,0,0,anderke01
9,Kenny Anderson,PG,34,LAC,4,26,.364,13.4,,1.000,.182,.091,.091,.636,.000,,.364,1.000,1.000,.000,.143,,,.750,,,.000,0,,,,,0,0,anderke01
10,Shandon Anderson,SF-SG,31,TOT,66,1171,.452,9.5,,.866,.401,.138,.124,.203,.134,,.495,.621,.367,.259,.477,.172,,.688,1.000,,.014,3,,.793,.174,,0,0,andersh01
10,Shandon Anderson,SG,31,NYK,1,20,.000,20.7,,.500,.000,.000,.000,.500,.500,,.000,,,,.000,.000,,,,,.000,0,,1.000,.000,,0,0,andersh01
10,Shandon Anderson,SF,31,MIA,65,1151,.456,9.4,,.870,.405,.140,.126,.200,.130,,.497,.621,.367,.259,.488,.179,,.688,1.000,,.014,3,,.786,.182,,0,0,andersh01
11,Carmelo Anthony,SF,20,DEN,75,2608,.431,10.5,,.872,.433,.067,.067,.305,.128,,.455,.564,.256,.349,.368,.266,,.623,.762,,.079,90,,.120,.105,,5,0,anthoca01
12,Rafael Araújo,C,24,TOR,59,736,.434,6.9,,.983,.434,.234,.166,.149,.017,,.436,.566,.317,.345,.346,.333,,.627,1.000,,.057,5,,.333,.000,,0,0,araujra01
13,Gilbert Arenas,PG,23,WAS,80,3274,.431,15.2,,.631,.233,.110,.109,.179,.369,,.469,.645,.251,.380,.429,.365,,.257,.668,,.018,27,,.137,.260,,3,1,arenagi01
14,Trevor Ariza,SF,19,NYK,80,1382,.442,8.5,,.967,.481,.116,.057,.314,.033,,.449,.578,.222,.227,.377,.231,,.621,1.000,,.149,56,,.692,.333,,1,0,arizatr01
15,Darrell Armstrong,PG,36,TOT,66,988,.321,17.2,,.599,.188,.043,.087,.282,.401,,.367,.462,.167,.250,.372,.252,,.393,.821,,.004,1,,.225,.280,,2,0,armstda01
15,Darrell Armstrong,PG,36,NOH,14,412,.333,18.3,,.560,.157,.019,.082,.302,.440,,.404,.480,.000,.385,.396,.243,,.528,.765,,.006,1,,.186,.231,,0,0,armstda01
15,Darrell Armstrong,PG,36,DAL,52,576,.305,15.8,,.653,.229,.076,.093,.254,.347,,.325,.444,.222,.091,.333,.268,,.200,.909,,.000,0,,.293,.333,,2,0,armstda01
