Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,13,240.0,31.0,72.8,.426,5.0,16.8,.297,26.0,56.0,.464,20.8,26.9,.771,9.6,28.6,38.2,17.7,6.8,4.2,13.2,23.5,87.8
2,Boston Celtics,26,240.0,30.5,71.7,.426,5.3,16.0,.329,25.3,55.6,.454,22.4,29.4,.762,9.8,26.5,36.3,18.5,6.1,5.0,14.2,22.8,88.8
3,Detroit Pistons,17,240.0,32.3,72.4,.446,4.6,13.9,.335,27.6,58.5,.472,19.9,27.2,.730,11.7,27.6,39.4,16.9,6.7,3.9,14.6,21.8,89.1
4,Houston Rockets,6,240.0,33.8,75.7,.447,5.3,14.8,.360,28.5,60.8,.468,17.5,25.3,.691,12.8,30.7,43.5,18.5,5.5,6.2,12.3,21.8,90.5
5,Philadelphia 76ers,6,240.0,36.7,75.2,.488,5.3,14.0,.381,31.3,61.2,.512,14.2,19.0,.746,12.2,26.3,38.5,23.2,6.3,6.8,17.2,23.7,92.8
6,New Orleans Hornets,12,240.0,32.9,77.4,.425,8.9,23.8,.375,24.0,53.7,.447,18.2,24.0,.757,11.7,32.1,43.8,21.8,4.2,4.0,12.3,20.7,92.9
7,San Antonio Spurs,17,242.9,36.9,81.2,.455,5.1,14.6,.347,31.9,66.6,.479,16.0,22.3,.718,9.5,33.1,42.5,17.9,6.9,5.3,11.0,20.3,94.9
8,Orlando Magic,10,240.0,35.5,82.7,.429,5.8,17.7,.328,29.7,65.0,.457,18.7,21.7,.862,10.4,28.6,39.0,21.0,7.8,3.4,9.0,22.0,95.5
9,Washington Wizards,6,240.0,33.3,77.3,.431,8.3,21.8,.382,25.0,55.5,.450,20.5,29.2,.703,13.2,31.7,44.8,23.0,5.8,4.8,13.7,23.2,95.5
10,Atlanta Hawks,7,240.0,37.6,81.7,.460,7.1,18.7,.382,30.4,63.0,.483,16.9,21.7,.776,13.0,26.4,39.4,24.0,8.6,5.7,10.6,25.0,99.1
11,Utah Jazz,12,242.1,34.4,76.7,.449,6.3,18.4,.339,28.2,58.3,.484,24.1,32.3,.745,10.7,28.9,39.6,18.1,7.4,6.5,12.7,22.8,99.2
12,Los Angeles Lakers,21,241.2,36.1,82.9,.436,6.8,19.2,.354,29.3,63.6,.461,21.1,27.3,.775,12.5,30.9,43.4,21.9,7.2,4.4,13.3,25.0,100.2
13,Phoenix Suns,5,250.0,39.8,85.2,.467,4.4,12.0,.367,35.4,73.2,.484,18.4,24.2,.760,10.0,33.6,43.6,15.8,6.0,5.0,13.0,27.6,102.4
14,Dallas Mavericks,5,240.0,39.6,81.6,.485,6.8,14.8,.459,32.8,66.8,.491,16.8,21.6,.778,10.0,31.0,41.0,20.8,6.0,5.6,8.4,22.4,102.8
15,Toronto Raptors,5,240.0,37.0,78.4,.472,9.6,29.6,.324,27.4,48.8,.561,20.4,26.4,.773,12.8,32.6,45.4,19.6,5.4,5.2,13.8,18.0,104.0
16,Denver Nuggets,4,240.0,42.3,87.5,.483,9.3,23.3,.398,33.0,64.3,.514,21.0,29.8,.706,11.3,31.3,42.5,28.0,7.0,6.3,12.0,22.5,114.8
,League Average,11,240.9,34.5,77.6,.444,6.1,17.5,.350,28.4,60.1,.472,19.7,26.1,.755,11.1,29.6,40.7,19.8,6.6,4.9,12.8,22.7,94.9
