,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner,Corner
Rk,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks,16,3890,.430,13.5,,.704,.268,.158,.107,.171,.296,,.454,.592,.405,.352,.345,.375,,.477,.881,,.034,42,,.310,.392
2,Boston Celtics,4,960,.438,14.5,,.619,.272,.131,.056,.163,.381,,.510,.644,.357,.389,.442,.320,,.366,.769,,.047,13,,.287,.314
3,Brooklyn Nets,6,1465,.441,13.6,,.638,.322,.121,.067,.128,.362,,.489,.649,.317,.257,.373,.354,,.571,.896,,.029,15,,.275,.385
4,Chicago Bulls,12,2930,.407,12.8,,.731,.313,.130,.115,.174,.269,,.433,.514,.397,.353,.366,.336,,.486,.890,,.038,31,,.232,.476
5,Cleveland Cavaliers,20,4875,.419,13.1,,.693,.291,.160,.107,.135,.307,,.468,.614,.331,.348,.411,.310,,.527,.753,,.049,74,,.216,.382
6,Dallas Mavericks,5,1200,.466,11.4,,.695,.373,.175,.070,.077,.305,,.517,.675,.360,.333,.273,.351,,.513,.826,,.110,44,,.214,.286
7,Golden State Warriors,21,5115,.417,12.6,,.732,.254,.226,.127,.125,.268,,.459,.620,.328,.439,.385,.304,,.529,.727,,.046,73,,.200,.298
8,Houston Rockets,17,4080,.460,13.3,,.680,.274,.184,.086,.136,.320,,.518,.695,.400,.454,.364,.337,,.512,.817,,.074,103,,.244,.429
9,Los Angeles Clippers,14,3385,.446,13.2,,.667,.266,.211,.083,.107,.333,,.491,.659,.378,.398,.370,.355,,.537,.829,,.052,59,,.259,.373
10,Memphis Grizzlies,11,2640,.436,14.2,,.654,.276,.123,.111,.145,.346,,.470,.615,.358,.367,.367,.373,,.474,.816,,.043,33,,.222,.397
11,Milwaukee Bucks,6,1490,.437,13.7,,.665,.297,.136,.102,.130,.335,,.456,.577,.368,.353,.354,.399,,.678,.806,,.036,16,,.214,.472
12,New Orleans Pelicans,4,985,.449,13.9,,.646,.294,.146,.077,.129,.354,,.487,.680,.333,.259,.356,.379,,.564,.872,,.069,21,,.161,.450
13,Portland Trail Blazers,5,1200,.438,11.6,,.854,.282,.207,.144,.221,.146,,.449,.592,.341,.459,.362,.371,,.466,.783,,.033,11,,.274,.412
14,San Antonio Spurs,7,1705,.466,13.2,,.747,.269,.153,.114,.212,.253,,.512,.660,.393,.470,.431,.333,,.505,.714,,.067,35,,.224,.333
15,Toronto Raptors,4,985,.482,13.4,,.704,.284,.146,.113,.162,.296,,.498,.699,.438,.351,.302,.443,,.565,.930,,.024,8,,.247,.542
16,Washington Wizards,10,2425,.423,12.9,,.704,.272,.199,.090,.144,.296,,.467,.650,.382,.218,.392,.318,,.559,.841,,.029,22,,.229,.373
,League Average,10,2458,.435,13.2,,.698,.282,.171,.102,.144,.302,,.475,.627,.366,.378,.375,.344,,.519,.818,,.048,38,,.238,.389
