Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Houston Rockets,6,252.5,40.8,91.7,.445,8.2,25.7,.318,32.7,66.0,.495,22.2,29.8,.743,16.7,32.5,49.2,18.3,6.0,5.0,13.8,26.0,112.0
2,Los Angeles Clippers,13,240.0,39.4,85.4,.461,9.2,25.8,.355,30.2,59.6,.507,20.8,28.5,.730,11.4,28.4,39.8,23.8,9.4,4.4,12.6,24.3,108.8
3,Golden State Warriors,7,240.0,38.3,83.1,.460,9.6,26.3,.364,28.7,56.9,.505,20.3,27.9,.728,13.1,29.6,42.7,24.4,7.0,4.6,17.3,25.3,106.4
4,San Antonio Spurs,23,241.1,39.7,80.9,.491,8.8,21.6,.409,30.9,59.3,.521,18.0,23.5,.767,9.4,32.6,42.0,22.2,8.1,3.5,12.6,19.8,106.3
5,Portland Trail Blazers,11,246.8,38.4,87.7,.437,7.9,22.8,.347,30.5,64.9,.469,19.6,24.6,.797,11.7,32.5,44.2,17.5,5.9,6.0,13.8,22.5,104.3
6,Oklahoma City Thunder,19,246.6,36.6,81.4,.450,7.5,23.3,.323,29.1,58.1,.500,21.8,26.6,.820,11.2,34.1,45.2,19.3,6.3,6.2,15.1,23.0,102.5
7,Dallas Mavericks,7,240.0,39.1,86.7,.451,8.4,22.4,.376,30.7,64.3,.478,14.4,18.9,.765,11.7,29.0,40.7,19.1,6.6,4.1,11.4,20.3,101.1
8,Miami Heat,20,240.0,35.4,72.2,.491,9.3,23.5,.396,26.1,48.7,.536,17.2,22.0,.780,6.0,28.1,34.0,18.3,7.4,3.9,12.2,20.7,97.3
9,Memphis Grizzlies,7,254.3,36.7,88.1,.417,4.4,15.3,.290,32.3,72.9,.443,18.9,25.9,.729,12.9,29.9,42.7,21.7,9.0,2.4,11.1,20.9,96.7
10,Toronto Raptors,7,240.0,32.7,74.1,.441,6.6,21.0,.313,26.1,53.1,.492,24.1,29.0,.833,10.1,31.6,41.7,17.7,5.6,3.0,15.3,25.9,96.1
11,Brooklyn Nets,12,240.0,34.8,75.1,.463,7.8,22.7,.342,27.0,52.4,.515,18.3,24.8,.737,10.0,27.8,37.8,18.3,6.9,2.8,12.3,22.3,95.5
12,Atlanta Hawks,7,240.0,30.3,78.7,.385,11.3,32.9,.343,19.0,45.9,.414,20.6,24.9,.828,9.1,30.1,39.3,16.9,6.6,4.6,13.6,20.9,92.4
13,Charlotte Hornets,4,240.0,33.8,75.3,.449,7.8,21.3,.365,26.0,54.0,.481,16.8,23.5,.713,8.3,31.5,39.8,19.8,4.3,4.5,15.0,20.3,92.0
14,Indiana Pacers,19,240.0,33.6,74.5,.451,7.3,19.3,.380,26.3,55.3,.476,17.0,23.4,.727,8.2,31.3,39.5,18.8,7.1,4.2,13.6,20.7,91.6
15,Washington Wizards,11,242.3,34.5,79.7,.432,5.6,16.8,.335,28.8,62.9,.458,15.8,22.7,.696,11.7,33.2,44.9,19.5,7.5,5.6,12.8,22.3,90.4
16,Chicago Bulls,5,245.0,33.2,78.6,.422,6.4,19.2,.333,26.8,59.4,.451,17.2,22.8,.754,12.2,29.6,41.8,20.2,5.0,4.4,13.2,22.0,90.0
,League Average,11,242.5,36.4,80.0,.455,8.0,22.3,.358,28.3,57.6,.492,18.8,24.7,.763,10.2,30.9,41.1,19.8,7.1,4.4,13.3,22.0,99.5
