,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner,Corner,,Heaves,Heaves
Rk,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%3PA,3P%,,Att.,#
1,Atlanta Hawks,6,1440,.457,14.6,,.612,.201,.220,.111,.081,.388,,.508,.638,.433,.406,.532,.375,,.472,.738,,.050,24,,.192,.419,,1,0
2,Boston Celtics,20,4825,.478,15.1,,.548,.204,.225,.067,.053,.452,,.572,.718,.506,.491,.389,.364,,.491,.783,,.050,81,,.210,.426,,6,1
3,Brooklyn Nets,4,960,.440,15.5,,.553,.188,.188,.129,.049,.447,,.532,.655,.534,.375,.467,.326,,.571,.822,,.061,17,,.239,.303,,1,0
4,Cleveland Cavaliers,5,1200,.449,14.1,,.610,.250,.163,.138,.059,.390,,.527,.684,.359,.481,.435,.327,,.556,.800,,.084,31,,.288,.341,,1,0
5,Denver Nuggets,20,4825,.492,13.6,,.651,.195,.284,.092,.080,.349,,.554,.713,.507,.481,.416,.375,,.534,.818,,.060,93,,.228,.365,,6,0
6,Golden State Warriors,13,3120,.448,15.7,,.546,.148,.253,.066,.079,.454,,.538,.706,.497,.450,.427,.340,,.619,.771,,.030,33,,.190,.419,,1,0
7,Los Angeles Clippers,5,1200,.460,14.1,,.619,.217,.244,.102,.056,.381,,.522,.677,.481,.356,.400,.361,,.420,.787,,.052,20,,.183,.290,,2,0
8,Los Angeles Lakers,16,3865,.471,13.9,,.653,.193,.249,.129,.082,.347,,.544,.688,.513,.478,.404,.335,,.517,.883,,.062,75,,.202,.378,,3,1
9,Memphis Grizzlies,6,1465,.402,13.8,,.596,.217,.273,.066,.040,.404,,.463,.645,.372,.342,.304,.312,,.506,.833,,.037,19,,.260,.300,,2,0
10,Miami Heat,23,5545,.458,14.6,,.612,.198,.201,.141,.072,.388,,.507,.702,.405,.426,.413,.380,,.494,.806,,.047,90,,.252,.410,,3,0
11,Milwaukee Bucks,5,1225,.475,15.6,,.555,.192,.173,.127,.063,.445,,.553,.697,.525,.458,.379,.379,,.507,.795,,.035,16,,.267,.418,,1,0
12,Minnesota Timberwolves,5,1225,.458,13.3,,.610,.223,.278,.070,.039,.390,,.528,.674,.470,.414,.313,.348,,.504,.821,,.058,23,,.304,.388,,1,0
13,New York Knicks,11,2640,.433,14.2,,.598,.252,.172,.112,.063,.402,,.528,.642,.481,.420,.393,.292,,.420,.829,,.051,42,,.331,.328,,1,0
14,Philadelphia 76ers,11,2665,.437,14.6,,.596,.207,.211,.115,.064,.404,,.490,.623,.405,.443,.424,.359,,.411,.739,,.031,29,,.292,.404,,1,0
15,Phoenix Suns,11,2640,.496,14.2,,.703,.113,.252,.227,.110,.297,,.553,.741,.581,.447,.514,.363,,.515,.767,,.047,40,,.306,.345,,1,0
16,Sacramento Kings,7,1680,.429,14.9,,.584,.148,.272,.099,.066,.416,,.517,.687,.440,.545,.409,.306,,.416,.824,,.046,30,,.252,.286,,2,0
,League Average,11,2600,.461,14.5,,.607,.193,.233,.111,.070,.393,,.532,.686,.476,.448,.423,.351,,.501,.800,,.049,41,,.242,.376,,2.1,0.1
