Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Minnesota Timberwolves,66,241.9,39.0,87.3,.447,11.4,32.5,.350,27.7,54.8,.505,17.3,22.1,.784,10.3,30.7,41.0,24.4,7.5,4.9,14.0,20.2,106.7
2,New York Knicks,66,240.0,40.3,85.9,.469,12.7,34.5,.368,27.6,51.4,.536,14.9,19.7,.755,10.1,30.5,40.6,25.4,6.8,5.3,13.1,19.3,108.1
3,Orlando Magic,67,241.5,40.0,84.3,.474,11.6,32.4,.358,28.4,51.9,.547,17.6,22.9,.770,9.1,30.9,40.0,23.9,8.1,4.8,14.9,21.2,109.2
4,Cleveland Cavaliers,66,241.9,40.1,87.9,.456,12.1,33.5,.361,28.0,54.3,.515,17.2,21.8,.786,10.1,32.6,42.7,24.5,7.6,5.1,13.6,19.0,109.4
5,Miami Heat,66,240.4,40.5,86.2,.470,13.2,36.8,.360,27.3,49.4,.552,15.3,19.8,.773,9.4,33.5,42.9,26.7,6.8,4.9,13.8,19.1,109.6
6,Boston Celtics,66,241.9,41.4,92.2,.449,12.9,37.0,.348,28.5,55.1,.518,13.9,18.2,.765,11.2,32.3,43.5,24.8,6.4,3.7,11.7,17.7,109.7
7,Denver Nuggets,67,240.4,40.8,87.7,.465,11.3,31.1,.362,29.6,56.6,.522,17.3,22.3,.778,10.8,31.3,42.1,25.6,7.1,4.7,12.3,18.1,110.3
8,New Orleans Pelicans,66,240.4,40.5,88.0,.460,13.5,38.9,.346,27.0,49.1,.550,16.6,21.3,.781,10.3,32.1,42.4,26.8,6.6,5.3,14.1,18.8,111.1
9,Memphis Grizzlies,67,241.1,41.0,87.0,.472,13.3,35.2,.378,27.7,51.9,.535,16.9,21.6,.779,10.6,34.8,45.4,26.1,8.1,6.3,15.0,19.0,112.2
10,Houston Rockets,66,241.9,40.5,88.0,.461,12.3,35.4,.347,28.2,52.5,.538,19.2,25.6,.750,10.6,34.2,44.7,24.5,7.4,6.0,13.6,19.8,112.6
11,Los Angeles Clippers,66,240.4,41.7,88.9,.469,12.8,35.3,.362,28.9,53.7,.538,16.5,21.2,.779,11.1,30.8,41.9,26.5,7.1,4.5,13.1,19.2,112.7
12,Philadelphia 76ers,66,240.8,40.9,86.4,.473,11.9,33.6,.353,29.0,52.8,.549,19.2,24.3,.792,11.1,33.3,44.4,26.2,6.0,6.2,14.5,19.1,112.9
13,Oklahoma City Thunder,66,241.5,40.6,89.4,.454,13.4,36.8,.364,27.2,52.5,.518,18.5,23.5,.786,12.1,32.8,44.9,26.9,6.9,5.3,15.7,18.9,113.1
14,Brooklyn Nets,66,241.1,41.3,87.7,.472,13.2,34.6,.380,28.2,53.1,.531,18.0,22.3,.808,10.1,34.2,44.3,25.3,6.7,4.8,12.8,18.2,113.9
15,Chicago Bulls,67,244.1,41.1,87.1,.472,14.5,39.7,.366,26.6,47.4,.562,17.1,21.9,.782,10.1,33.7,43.8,28.1,6.6,5.0,14.0,18.9,113.9
16,Phoenix Suns,67,241.5,42.2,91.2,.463,13.3,36.6,.363,28.9,54.6,.530,16.4,21.4,.766,11.3,30.3,41.6,26.1,8.2,4.7,12.6,20.5,114.2
17,Portland Trail Blazers,66,243.0,42.6,86.6,.492,11.6,33.0,.351,31.0,53.6,.579,18.9,24.0,.787,10.8,33.2,43.9,27.1,8.7,6.4,14.8,18.3,115.7
18,Golden State Warriors,65,242.3,42.5,90.6,.469,13.1,36.8,.357,29.4,53.8,.546,18.5,23.4,.793,10.8,32.5,43.3,26.6,7.9,5.1,13.1,18.9,116.7
19,Charlotte Hornets,67,240.7,43.1,87.6,.492,13.3,35.6,.375,29.8,52.0,.572,17.3,21.7,.798,10.4,35.2,45.6,28.1,7.1,5.1,13.7,17.6,116.8
20,Milwaukee Bucks,67,241.1,43.6,92.4,.472,12.6,35.0,.360,31.0,57.4,.540,17.3,21.6,.801,10.3,33.7,44.0,26.6,6.8,4.3,12.0,19.9,117.1
21,Sacramento Kings,65,242.3,42.6,87.4,.487,13.3,33.6,.395,29.3,53.8,.545,19.0,23.4,.809,8.8,33.3,42.1,27.8,7.4,4.6,13.7,18.4,117.4
22,Los Angeles Lakers,67,241.9,44.4,93.5,.475,14.3,37.8,.377,30.1,55.7,.541,14.6,18.2,.802,11.0,33.4,44.3,28.2,8.0,4.8,13.3,19.7,117.6
23,Dallas Mavericks,67,240.0,43.6,90.6,.481,13.3,36.0,.369,30.3,54.6,.555,17.1,22.4,.766,11.3,33.9,45.2,27.7,7.3,4.0,13.7,20.8,117.7
24,Toronto Raptors,67,241.9,44.4,91.3,.487,13.4,35.6,.377,31.0,55.7,.557,15.8,19.8,.797,10.9,34.0,45.0,28.4,6.9,5.4,13.7,18.2,118.1
25,San Antonio Spurs,67,240.7,45.1,91.7,.492,13.0,34.2,.380,32.1,57.4,.559,16.7,21.4,.781,10.7,34.7,45.4,28.1,8.7,4.7,13.5,18.2,119.8
26,Detroit Pistons,66,241.1,43.7,89.2,.490,11.9,32.0,.372,31.8,57.2,.556,21.0,25.9,.810,9.4,33.0,42.4,26.8,9.0,6.0,12.2,18.4,120.3
27,Utah Jazz,66,241.9,44.5,91.7,.485,14.7,37.0,.397,29.8,54.7,.545,17.1,22.1,.773,10.8,31.2,42.0,29.6,8.4,6.4,12.4,19.6,120.8
28,Atlanta Hawks,66,241.5,45.0,91.0,.495,14.0,36.4,.384,31.0,54.6,.568,17.3,22.0,.786,11.1,33.6,44.7,28.3,7.7,5.7,14.2,20.0,121.3
29,Indiana Pacers,67,240.4,45.1,90.0,.501,10.9,29.4,.372,34.2,60.6,.564,20.3,25.8,.786,10.8,32.5,43.3,24.8,6.7,5.6,14.0,18.7,121.4
30,Washington Wizards,66,240.4,46.6,93.3,.500,12.4,33.7,.367,34.3,59.6,.575,18.2,23.5,.775,12.3,37.0,49.3,29.6,7.7,5.8,14.3,18.0,123.9
,League Average,66,241.3,42.3,89.1,.475,12.8,35.0,.367,29.5,54.1,.545,17.4,22.2,.783,10.6,33.0,43.6,26.7,7.4,5.2,13.6,19.1,114.8
