,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks,82,19855,.476,11.4,,.807,.334,.130,.143,.201,.193,,.500,.609,.436,.384,.441,.379,,.546,.846,,.063,385,,.250,827,,.288,.434
2,Boston Celtics*,82,19880,.444,12.1,,.794,.332,.118,.121,.224,.206,,.467,.599,.355,.373,.381,.356,,.583,.857,,.056,353,,.259,891,,.293,.388
3,Charlotte Bobcats,82,19880,.463,11.4,,.812,.348,.127,.116,.222,.188,,.487,.594,.381,.411,.420,.361,,.539,.860,,.066,383,,.253,851,,.293,.418
4,Chicago Bulls*,82,19830,.422,12.7,,.810,.290,.104,.146,.270,.190,,.443,.551,.391,.378,.381,.334,,.569,.911,,.041,239,,.230,745,,.289,.353
5,Cleveland Cavaliers,82,19855,.452,11.7,,.826,.315,.143,.142,.226,.174,,.468,.589,.348,.389,.425,.376,,.552,.855,,.056,337,,.235,788,,.261,.430
6,Dallas Mavericks*,82,19730,.438,11.9,,.796,.319,.138,.120,.219,.204,,.466,.593,.369,.376,.390,.330,,.536,.843,,.052,318,,.246,854,,.288,.382
7,Denver Nuggets*,82,19755,.447,12.3,,.797,.305,.130,.110,.252,.203,,.472,.608,.403,.394,.379,.345,,.555,.857,,.050,305,,.229,826,,.288,.351
8,Detroit Pistons*,82,19955,.430,12.1,,.813,.319,.105,.134,.255,.187,,.451,.562,.371,.376,.384,.338,,.542,.798,,.045,273,,.251,811,,.288,.335
9,Golden State Warriors,82,19905,.458,11.8,,.819,.282,.189,.124,.224,.181,,.479,.651,.349,.395,.419,.363,,.544,.887,,.045,292,,.224,903,,.264,.394
10,Houston Rockets*,82,19855,.423,13.2,,.791,.257,.128,.136,.271,.209,,.446,.561,.388,.402,.387,.338,,.568,.903,,.043,244,,.198,634,,.234,.392
11,Indiana Pacers*,82,19905,.440,12.0,,.830,.291,.153,.143,.243,.170,,.456,.570,.406,.386,.392,.365,,.517,.798,,.041,236,,.226,738,,.252,.381
12,Los Angeles Clippers,82,20030,.444,12.0,,.801,.309,.138,.127,.227,.199,,.462,.569,.413,.359,.404,.368,,.538,.854,,.049,288,,.236,794,,.230,.446
13,Los Angeles Lakers,82,19780,.453,12.6,,.780,.293,.127,.122,.238,.220,,.479,.587,.437,.377,.422,.361,,.586,.880,,.051,309,,.223,821,,.274,.381
14,Memphis Grizzlies*,82,19705,.432,12.0,,.805,.323,.121,.119,.241,.195,,.452,.548,.374,.364,.405,.351,,.564,.845,,.052,288,,.247,723,,.284,.348
15,Miami Heat*,82,19980,.427,12.7,,.811,.259,.141,.146,.265,.189,,.446,.566,.393,.353,.408,.348,,.512,.857,,.040,239,,.198,670,,.231,.389
16,Milwaukee Bucks,82,19780,.464,11.9,,.798,.322,.122,.142,.212,.202,,.494,.622,.432,.427,.381,.343,,.588,.873,,.057,356,,.233,874,,.298,.346
17,Minnesota Timberwolves,82,19755,.438,12.0,,.810,.311,.134,.126,.239,.190,,.456,.579,.373,.380,.381,.363,,.555,.846,,.053,325,,.237,818,,.266,.356
18,New Jersey Nets*,82,19905,.439,12.7,,.786,.287,.121,.127,.251,.214,,.459,.556,.383,.377,.425,.368,,.562,.858,,.042,234,,.219,675,,.296,.387
19,New Orleans Hornets,82,19930,.452,12.5,,.786,.307,.111,.117,.252,.214,,.475,.596,.433,.390,.385,.367,,.558,.866,,.049,280,,.236,796,,.281,.368
20,New York Knicks,82,19880,.465,11.8,,.802,.311,.146,.123,.223,.198,,.490,.620,.394,.410,.415,.364,,.520,.817,,.053,319,,.228,821,,.266,.363
21,Orlando Magic,82,19705,.451,11.8,,.811,.323,.121,.138,.228,.189,,.477,.584,.429,.374,.412,.343,,.520,.847,,.048,305,,.251,902,,.271,.363
22,Philadelphia 76ers*,82,19855,.443,13.0,,.764,.282,.109,.145,.228,.236,,.468,.605,.393,.364,.400,.362,,.585,.874,,.046,282,,.213,741,,.278,.406
23,Phoenix Suns*,82,19780,.445,12.4,,.803,.308,.112,.126,.256,.197,,.472,.602,.413,.349,.401,.335,,.470,.826,,.051,342,,.235,955,,.238,.409
24,Portland Trail Blazers,82,19730,.447,11.5,,.812,.332,.133,.111,.236,.188,,.471,.579,.389,.390,.401,.343,,.584,.900,,.069,397,,.240,844,,.318,.387
25,Sacramento Kings*,82,19855,.459,12.0,,.810,.284,.172,.122,.232,.190,,.483,.639,.419,.385,.390,.357,,.502,.858,,.051,323,,.210,849,,.270,.365
26,San Antonio Spurs*,82,19805,.426,11.1,,.861,.290,.200,.159,.213,.139,,.436,.576,.331,.389,.381,.367,,.476,.768,,.045,251,,.247,766,,.243,.393
27,Seattle SuperSonics*,82,19755,.459,12.0,,.794,.294,.159,.118,.223,.206,,.486,.649,.402,.358,.398,.357,,.528,.849,,.044,260,,.226,859,,.263,.387
28,Toronto Raptors,82,19805,.467,11.6,,.818,.316,.145,.133,.223,.182,,.492,.616,.418,.386,.427,.356,,.534,.860,,.054,343,,.220,799,,.289,.388
29,Utah Jazz,82,19780,.458,12.8,,.783,.301,.115,.103,.264,.217,,.481,.624,.408,.373,.391,.375,,.525,.852,,.057,317,,.223,738,,.258,.388
30,Washington Wizards*,82,19780,.459,12.5,,.788,.276,.162,.130,.220,.212,,.485,.669,.359,.410,.392,.364,,.564,.829,,.051,329,,.212,873,,.272,.405
,League Average,82,19833,.447,12.1,,.804,.304,.135,.129,.236,.196,,.470,.596,.391,.383,.400,.356,,.544,.854,,.051,305,,.231,806,,.272,.384
