,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner,,Heaves,Heaves
Rk,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks,82,19880,.454,11.3,,.822,.342,.132,.118,.231,.178,,.472,.583,.371,.377,.414,.367,,.504,.837,,.047,290,,.272,922,,.278,.383,,11,0
2,Boston Celtics,82,19880,.467,12.0,,.796,.341,.117,.111,.228,.204,,.494,.602,.381,.411,.430,.362,,.523,.895,,.042,247,,.283,961,,.267,.390,,14,2
3,Charlotte Bobcats,82,19905,.433,11.9,,.816,.328,.120,.107,.261,.184,,.454,.566,.407,.364,.371,.339,,.527,.893,,.040,244,,.265,939,,.315,.411,,18,1
4,Chicago Bulls*,82,19905,.446,13.0,,.781,.292,.106,.114,.269,.219,,.465,.551,.420,.410,.412,.379,,.552,.813,,.025,158,,.247,868,,.284,.389,,12,0
5,Cleveland Cavaliers*,82,19830,.454,11.9,,.772,.351,.121,.103,.198,.228,,.487,.616,.375,.348,.399,.339,,.482,.803,,.054,317,,.252,920,,.365,.360,,15,0
6,Dallas Mavericks*,82,19880,.462,11.8,,.825,.287,.143,.178,.218,.175,,.481,.571,.423,.425,.447,.374,,.435,.894,,.035,195,,.227,754,,.232,.422,,19,0
7,Denver Nuggets*,82,19930,.461,11.4,,.839,.367,.088,.103,.280,.161,,.487,.613,.368,.377,.401,.325,,.591,.886,,.075,466,,.269,963,,.303,.319,,20,1
8,Detroit Pistons*,82,19830,.455,13.2,,.779,.269,.086,.174,.249,.221,,.475,.608,.405,.415,.398,.384,,.629,.797,,.059,347,,.188,647,,.293,.400,,4,0
9,Golden State Warriors,82,19830,.433,13.1,,.730,.283,.152,.083,.211,.270,,.467,.633,.348,.357,.374,.341,,.519,.789,,.051,315,,.224,851,,.267,.380,,13,0
10,Houston Rockets,82,19830,.433,12.6,,.774,.281,.151,.118,.225,.226,,.463,.577,.426,.367,.395,.332,,.531,.832,,.035,193,,.229,772,,.260,.391,,9,0
11,Indiana Pacers*,82,19730,.444,12.9,,.755,.283,.141,.133,.198,.245,,.475,.603,.431,.363,.398,.349,,.531,.815,,.042,249,,.231,778,,.239,.376,,12,0
12,Los Angeles Clippers*,82,19805,.465,11.9,,.869,.248,.174,.206,.242,.131,,.483,.593,.467,.469,.392,.344,,.537,.886,,.032,186,,.200,713,,.217,.393,,14,0
13,Los Angeles Lakers*,82,19855,.453,12.8,,.760,.304,.121,.106,.229,.240,,.486,.600,.439,.396,.400,.349,,.515,.864,,.053,322,,.230,811,,.186,.380,,13,0
14,Memphis Grizzlies*,82,19855,.448,12.0,,.742,.328,.145,.092,.178,.258,,.474,.603,.372,.335,.392,.374,,.494,.885,,.051,275,,.254,869,,.304,.386,,8,0
15,Miami Heat*,82,19755,.478,11.4,,.773,.340,.162,.094,.177,.227,,.517,.669,.406,.360,.411,.345,,.485,.924,,.084,499,,.235,861,,.284,.401,,16,1
16,Milwaukee Bucks*,82,19855,.453,11.4,,.797,.339,.134,.132,.192,.203,,.472,.575,.390,.395,.400,.380,,.536,.878,,.043,266,,.267,928,,.295,.401,,2,0
17,Minnesota Timberwolves,82,19855,.456,12.5,,.851,.285,.118,.145,.304,.149,,.478,.601,.441,.406,.410,.329,,.570,.797,,.048,289,,.215,712,,.197,.414,,19,0
18,New Jersey Nets*,82,19780,.440,12.9,,.771,.299,.114,.102,.257,.229,,.472,.569,.393,.360,.440,.330,,.634,.893,,.052,292,,.216,677,,.269,.373,,16,1
19,New Orleans/Oklahoma City Hornets,82,19805,.440,11.2,,.862,.324,.133,.139,.267,.138,,.457,.572,.364,.363,.411,.339,,.497,.873,,.050,284,,.254,823,,.234,.386,,8,0
20,New York Knicks,82,19930,.455,10.0,,.858,.383,.161,.108,.205,.142,,.470,.573,.391,.361,.397,.362,,.479,.844,,.063,353,,.300,938,,.381,.395,,15,0
21,Orlando Magic,82,19905,.472,10.9,,.871,.358,.125,.130,.258,.129,,.486,.599,.385,.398,.424,.376,,.474,.863,,.075,419,,.257,825,,.198,.449,,12,0
22,Philadelphia 76ers,82,19905,.458,11.1,,.842,.328,.150,.145,.220,.158,,.476,.590,.416,.395,.401,.364,,.502,.891,,.069,421,,.234,746,,.263,.399,,6,0
23,Phoenix Suns*,82,19955,.479,14.4,,.707,.254,.089,.104,.260,.293,,.511,.662,.413,.415,.437,.399,,.569,.840,,.041,275,,.199,874,,.286,.420,,10,0
24,Portland Trail Blazers,82,19730,.445,11.9,,.834,.310,.143,.097,.283,.166,,.464,.599,.367,.407,.386,.349,,.485,.860,,.050,281,,.233,780,,.283,.363,,16,1
25,Sacramento Kings*,82,19830,.454,13.3,,.783,.281,.118,.070,.315,.217,,.483,.628,.427,.382,.397,.351,,.566,.874,,.040,246,,.225,847,,.247,.365,,10,0
26,San Antonio Spurs*,82,19805,.472,11.8,,.785,.295,.187,.109,.194,.215,,.496,.657,.407,.399,.390,.385,,.504,.901,,.030,170,,.254,1005,,.408,.432,,8,0
27,Seattle SuperSonics,82,19830,.459,12.5,,.757,.275,.173,.124,.184,.243,,.487,.615,.420,.401,.415,.371,,.481,.836,,.054,318,,.200,741,,.207,.412,,19,0
28,Toronto Raptors,82,19955,.454,12.9,,.756,.279,.135,.128,.214,.244,,.479,.584,.431,.376,.433,.375,,.449,.842,,.039,236,,.207,708,,.352,.382,,13,1
29,Utah Jazz,82,19880,.442,11.7,,.851,.348,.097,.109,.297,.149,,.461,.588,.337,.389,.378,.336,,.620,.846,,.032,181,,.289,1004,,.129,.370,,10,1
30,Washington Wizards*,82,19830,.447,12.6,,.791,.287,.164,.093,.247,.209,,.471,.638,.354,.388,.385,.357,,.463,.757,,.047,299,,.223,853,,.179,.356,,10,0
,League Average,82,19853,.454,12.2,,.798,.309,.133,.119,.236,.202,,.478,.601,.400,.391,.405,.358,,.523,.851,,.049,288,,.239,836,,.270,.390,,12.4,0.3
